"DisplayName","UserPrincipalName","UserType","IsAdmin","MfaRegistered","MfaCapable","PasswordlessCapable","SsprRegistered","MethodsRegistered","PreferredSecondFactor","LastUpdated"
"Daniel Okafor","daniel.okafor@contoso.onmicrosoft.com","member","True","False","False","False","False","","none","2026-09-02 16:40"
"Lena Fischer","lena.fischer@contoso.onmicrosoft.com","member","False","False","False","False","False","","none","2026-09-01 10:03"
"Sofia Marin","sofia.marin@contoso.onmicrosoft.com","member","False","False","False","False","True","email","none","2026-09-10 11:55"
"Amelia Hart","amelia.hart@contoso.onmicrosoft.com","member","True","True","True","True","True","microsoftAuthenticatorPush; fido2SecurityKey","push","2026-09-18 08:14"
"Marcus Lee","marcus.lee@contoso.onmicrosoft.com","member","True","True","True","False","True","microsoftAuthenticatorPush","push","2026-09-17 15:36"
"Grace Adeyemi","grace.adeyemi@contoso.onmicrosoft.com","member","False","True","True","True","True","passKeyDeviceBound; microsoftAuthenticatorPush","push","2026-09-20 18:27"
"James O'Connell","james.oconnell@contoso.onmicrosoft.com","member","False","True","True","True","True","windowsHelloForBusiness; microsoftAuthenticatorPush","push","2026-09-15 07:48"
"Partner Consultant (Fabrikam)","partner.consultant_fabrikam.com#EXT#@contoso.onmicrosoft.com","guest","False","True","True","False","False","softwareOneTimePasscode","oath","2026-09-05 12:12"
"Priya Shah","priya.shah@contoso.onmicrosoft.com","member","False","True","True","False","True","microsoftAuthenticatorPush; softwareOneTimePasscode","push","2026-09-19 09:02"
"Tom Becker","tom.becker@contoso.onmicrosoft.com","member","False","True","True","False","True","mobilePhone; email","sms","2026-08-27 13:21"
